time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454124.282042,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.148254967711242,-1.5630747717868834,-51.30000000000001,1.2,26.0,-90.5,13.2,init_state
1716454124.3866975,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.148254967711242,-1.5630747717868834,-51.30000000000001,1.2,26.0,-90.5,13.2,init_state
1716454124.4894228,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.148254967711242,-1.5630747717868834,-51.30000000000001,1.2,26.0,-90.5,13.2,init_state
1716454124.5923982,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.148254967711242,-1.5630747717868834,-51.30000000000001,1.2,26.0,-90.5,13.2,init_state
1716454124.6958418,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.148254967711242,-1.5630747717868834,-51.30000000000001,1.2,26.0,-90.5,13.2,init_state
1716454124.7998564,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.148254967711242,-1.5630747717868834,-51.30000000000001,1.2,26.0,-90.5,13.2,init_state
1716454124.9023185,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.005045,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.109735,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.215482,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.3182158,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.4211752,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.5236285,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.6263542,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.7303617,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.8330915,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454125.9355562,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.0412755,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.1439714,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.2457275,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.348458,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.4515514,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.554897,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.150854843235072,-1.5609881510752264,-51.20000000000001,1.2,26.0,-90.5,13.3,init_state
1716454126.6596186,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.143347985014435,-1.565410028294671,-51.300000000000004,1.2,26.0,-90.6,13.3,init_state
1716454126.7623467,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.143347985014435,-1.565410028294671,-51.300000000000004,1.2,26.0,-90.6,13.3,init_state
1716454126.8650725,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.145947860538264,-1.563323407583014,-51.2,1.2,26.0,-90.6,13.4,init_state
1716454126.9847214,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.145947860538264,-1.563323407583014,-51.2,1.2,26.0,-90.6,13.4,init_state
1716454127.087739,5.665263678026926,-0.5032772486534516,-160.3,10.4,25.3,-79.6,-106.0,8.145947860538264,-1.563323407583014,-51.2,1.2,26.0,-90.6,13.4,init_state
