time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454346.2223547,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.3280737,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.431794,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.5345485,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.6372447,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.7439604,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.8526993,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454346.9534004,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.0571218,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.1628394,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.266562,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.3743045,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.477033,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.5837452,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.6864955,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.7911894,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454347.9009104,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454348.0066214,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454348.1132984,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454348.216024,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454348.321975,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454348.4245043,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.48691367686174,-1.7246644506964606,-47.49999999999999,1.6,23.0,-85.3,14.8,init_state
1716454348.5392535,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.515924148281087,-1.7054499188299503,-47.100000000000016,1.6,23.0,-84.9,14.8,init_state
1716454348.6419227,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.551997441622925,-1.6811477158253278,-46.599999999999994,1.6,23.0,-84.4,14.8,init_state
1716454348.744641,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.584953015649695,-1.6715177511838344,-46.20000000000001,1.6,22.9,-83.9,14.8,init_state
1716454348.8493314,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.624873100752056,-1.6566972082852867,-45.7,1.6,22.8,-83.3,14.8,init_state
1716454348.953122,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.658774347269418,-1.671808508047757,-45.400000000000006,1.6,22.5,-82.7,14.8,init_state
1716454349.0587711,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.692438209114103,-1.6868739743354688,-45.09999999999999,1.6,22.2,-82.1,14.8,init_state
1716454349.1714706,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.72586376337433,-1.7018931941210582,-44.800000000000004,1.6,21.9,-81.5,14.8,init_state
1716454349.2752233,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.745972020552339,-1.7525516502674054,-44.800000000000004,1.6,21.4,-81.0,14.8,init_state
1716454349.377948,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.769517249993307,-1.813570538601278,-44.800000000000004,1.6,20.8,-80.4,14.8,init_state
1716454349.4816658,8.484453874921918,-1.7269144980627562,-47.59999999999999,1.6,23.0,-85.3,14.7,8.78538155359919,-1.8799419250624554,-44.9,1.6,20.2,-79.9,14.8,init_state
