time(s),Dist_cmd(m),Dept_cmd(m),AOA_cmd(Deg),SwingAng_cmd(Deg),BoomAng_cmd(Deg),ArmAng_cmd(Deg),BktAng_cmd(Deg),Dist_cur(m),Dept_cur(m),AOA_cur(Deg),SwingAng_cur(Deg),BoomAng_cur(Deg),ArmAng_cur(Deg),BktAng_cur(Deg),excavation state
1716454522.6240146,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454522.7297325,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454522.8324895,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454522.935183,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.0389056,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.1416612,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.2443569,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.351101,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.4557908,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.5585496,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.6612659,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.763969,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.8709717,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454523.9754016,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
1716454524.0784206,9.71252145843024,-1.7628233466482568,-32.499999999999986,-2.8,14.8,-63.3,16.0,9.715583371008837,-1.7458691225096472,-32.39999999999999,-2.8,14.9,-63.3,16.0,init_state
